"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date","New/Used"
"2025","Tiffin Motorhomes","Allegro","BB","N/A","N/A","RALATOTMAB38BB","ClassC Super Diesel","Raleigh NC","Campersinn","2024-10-29"
"2025","Tiffin Motorhomes","Allegro","BB","N/A","N/A","TO25ATOTMAB38BB","ClassC Super Diesel","Toms River NJ","Campersinn","2024-10-29"
"2025","Tiffin Motorhomes","Allegro","CB","N/A","N/A","RALATOTMAB38CB","ClassC Super Diesel","Raleigh NC","Campersinn","2024-10-29"
"2024","Thor Motor Coach","Tiburon Sprinter","24XL","233574","144995","79939","ClassC Diesel","Louisville KY","Campersinn","2024-10-29"
"2024","Tiffin Motorhomes","Wayfarer","RLW","203065","159866","88409","ClassC Diesel","Merrimack NH","Campersinn","2024-10-29"
"2024","Tiffin Motorhomes","Wayfarer","RLW","200101","159995","91226","ClassC Diesel","Mocksville NC","Campersinn","2024-10-29"
"2024","Tiffin Motorhomes","Wayfarer","RLW","203065","160770","91343","ClassC Diesel","Raleigh NC","Campersinn","2024-10-29"
"2024","Tiffin Motorhomes","Wayfarer","RLW","200101","149910","91493","ClassC Diesel","Davenport IA","Campersinn","2024-10-29"
"2025","Winnebago","Ekko","23B","240313","N/A","79069","ClassC Diesel","Mocksville NC","Campersinn","2024-10-29"
"2025","Winnebago","Ekko","23B","240313","N/A","91978","ClassC Diesel","Macon GA","Campersinn","2024-10-29"
"2025","Winnebago","Ekko","23B","240313","N/A","91979","ClassC Diesel","Richmond Hill GA","Campersinn","2024-10-29"
"2025","Winnebago","Ekko","23B","240705","178773","91983","ClassC Diesel","Charleston SC","Campersinn","2024-10-29"
"2025","Winnebago","Ekko","23B","250855","N/A","96568","ClassC Diesel","Acworth GA","Campersinn","2024-10-29"
"2025","Winnebago","Ekko","23B","249727","N/A","96570","ClassC Diesel","Kingston NH","Campersinn","2024-10-29"
"2025","Winnebago","View","24D","243686","N/A","98560","ClassC Diesel","Richmond Hill GA","Campersinn","2024-10-29"
"2024","Forest River RV","Sunseeker","2400T","197520","154995","91862","ClassC Diesel","Jacksonville North FL","Campersinn","2024-10-29"
"2024","Forest River RV","Sunseeker","2400T","165880","122599","91863","ClassC Diesel","Kingston NH","Campersinn","2024-10-29"
"2024","Forest River RV","Sunseeker","2400T","166982","134999","91865","ClassC Diesel","Toms River NJ","Campersinn","2024-10-29"
"2024","Jayco","Melbourne","24L","179011","99993","89878","ClassC Diesel","Fredericksburg VA","Campersinn","2024-10-29"
"2024","Jayco","Melbourne","24L","178806","112995","89883","ClassC Diesel","Ocala FL","Campersinn","2024-10-29"
"2024","Jayco","Melbourne","24R","182856","99993","89880","ClassC Diesel","Fredericksburg VA","Campersinn","2024-10-29"
"2024","Jayco","Melbourne","24RP","224856","149995","89884","ClassC Diesel","Ocala FL","Campersinn","2024-10-29"
"2024","Thor Motor Coach","Delano Sprinter","24RW","223171","139993","83933","ClassC Diesel","Sewell NJ","Campersinn","2024-10-29"
"2024","Thor Motor Coach","Delano Sprinter","24RW","235074","149993","83937","ClassC Diesel","Sewell NJ","Campersinn","2024-10-29"
"2024","Thor Motor Coach","Tiburon Sprinter","24FB","234219","158995","79935","ClassC Diesel","Toms River NJ","Campersinn","2024-10-29"
"2024","Thor Motor Coach","Tiburon Sprinter","24TT","229119","149988","79937","ClassC Diesel","Toms River NJ","Campersinn","2024-10-29"
"2024","Thor Motor Coach","Tiburon Sprinter","24TT","227184","154993","80944","ClassC Diesel","Naperville IL","Campersinn","2024-10-29"
"2025","Dynamax","DynaQuest XL","3400KD","480650","N/A","85311","ClassC Super Diesel","Jacksonville North FL","Campersinn","2024-10-29"
"2025","Dynamax","DynaQuest XL","3801TS","483077","N/A","85312","ClassC Super Diesel","Jacksonville North FL","Campersinn","2024-10-29"
"2025","Dynamax","DynaQuest XL","3801TS","N/A","N/A","90961","ClassC Super Diesel","Sewell NJ","Campersinn","2024-10-29"
"2025","Dynamax","Europa","31SS","N/A","N/A","92698","ClassC Super Diesel","Merrimack NH","Campersinn","2024-10-29"
"2025","Dynamax","Europa","32KD","N/A","N/A","96168","ClassC Super Diesel","Sewell NJ","Campersinn","2024-10-29"
"2024","Dynamax","Europa","34SS","N/A","N/A","96169","ClassC Super Diesel","Sewell NJ","Campersinn","2024-10-29"
"2025","Renegade","Verona","40VBH","422995","N/A","96149","ClassC Super Diesel","Sewell NJ","Campersinn","2024-10-29"
"2025","Renegade","Verona","40VBH","N/A","N/A","96152","ClassC Super Diesel","Sewell NJ","Campersinn","2024-10-29"
"2025","Renegade","Verona","40VTS","N/A","N/A","96153","ClassC Super Diesel","Sewell NJ","Campersinn","2024-10-29"
"2025","Thor Motor Coach","Inception","AC34XG","N/A","N/A","97251","ClassC Super Diesel","Sewell NJ","Campersinn","2024-10-29"
"2025","Thor Motor Coach","Inception","AC38DA","N/A","N/A","97252","ClassC Super Diesel","Sewell NJ","Campersinn","2024-10-29"
"2025","Thor Motor Coach","Magnitude","AX29","289575","N/A","96473","ClassC Super Diesel","Sewell NJ","Campersinn","2024-10-29"
"2025","Renegade","Verona","38LDG","496811","N/A","96137","ClassC Super Diesel","Sewell NJ","Campersinn","2024-10-29"
"2025","Renegade","Verona","40LRB","501627","N/A","96130","ClassC Super Diesel","Sewell NJ","Campersinn","2024-10-29"
"2023","Thor Motor Coach","Magnitude","XG32","289353","179993","83928","ClassC Super Diesel","Sewell NJ","Campersinn","2024-10-29"
"2024","Thor Motor Coach","Omni","BT36","301785","199993","77282","ClassC Super Diesel","Toms River NJ","Campersinn","2024-10-29"
"2024","Thor Motor Coach","Omni","RS36","300285","199993","77283","ClassC Super Diesel","Toms River NJ","Campersinn","2024-10-29"
"2025","Tiffin Motorhomes","Allegro","BB","390642","314995","96888","ClassC Super Diesel","Mocksville NC","Campersinn","2024-10-29"
"2025","Tiffin Motorhomes","Allegro","BB","391209","312968","97552","ClassC Super Diesel","Davenport IA","Campersinn","2024-10-29"
"2024","Tiffin Motorhomes","Allegro","CB","355466","279999","88407","ClassC Super Diesel","Toms River NJ","Campersinn","2024-10-29"
"2025","Dynamax","DX3","32KD","N/A","N/A","85309","ClassC Super Diesel","Jacksonville North FL","Campersinn","2024-10-29"
"2025","Dynamax","DX3","32KD","N/A","N/A","90959","ClassC Super Diesel","Sewell NJ","Campersinn","2024-10-29"
"2025","Dynamax","DX3","37RB","464424","N/A","85310","ClassC Super Diesel","Jacksonville North FL","Campersinn","2024-10-29"
"2025","Dynamax","DX3","37TS","N/A","N/A","90960","ClassC Super Diesel","Sewell NJ","Campersinn","2024-10-29"
"2025","Tiffin Motorhomes","Phaeton","OH","N/A","N/A","ACWATOTIFPHA44OH","ClassA Diesel","Acworth GA","Campersinn","2024-10-29"
"2025","Tiffin Motorhomes","Phaeton","OH","N/A","N/A","DAATOTP44OH","ClassA Diesel","Davenport IA","Campersinn","2024-10-29"
