"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2024","Barletta ","Corsa","23UCA","25 ft","N/A","BA20367","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Barletta","Corsa","25UC","27 ft","N/A","BA18370","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Barletta ","Corsa","25UC","27 ft","N/A","BA17584","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Barletta ","Lusso","L25QCSS","27 ft 6 in","N/A","BA19677","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Barletta ","Lusso","L25QSSA","27 ft 6 in","N/A","BA18515","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Barletta","Lusso","L25UC","27 ft 6 in","N/A","BA18272","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Barletta ","Lusso","L25UCA","27 ft 6 in","N/A","BA19591","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Barletta ","Lusso","L25UCA","27 ft 6 in","N/A","BA19245","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Barletta ","Lusso","L25UCAT","28 ft 3 in","N/A","BA19084","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Barletta","Reserve","V26M","28 ft 6 in","N/A","BA17649","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Cobalt Boats","N/A","A29","29 ft","N/A","COA9013","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Cobalt Boats","N/A","CS23","23 ft 5 in","N/A","CO13014","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Cobalt Boats","N/A","R30","30 ft 8 in","N/A","COR0009","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Cobalt Boats","N/A","R33","33 ft 4 in","N/A","CO33046","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
