"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2024","Barletta","Aria","A20QC","20'","MERCURY 90 CT 4S","M24046","Buckeye Sports","Peninsula","59971.00","42790.00","2024-10-11"
"2024","Barletta","Cabrio","22Q","22'","MERCURY 150 4S","N24003","Buckeye Sports","Peninsula","85916.00","64213.00","2024-10-11"
"2024","Barletta","Cabrio","24UE","24'","MERCURY 60 ELPT 4S CT","N24078","Buckeye Sports","Peninsula","79480.00","58995.00","2024-10-11"
"2024","Barletta","Cabrio","24UE","24'","MERCURY 250 4S V8","N24184","Buckeye Sports","Peninsula","113497.00","86278.00","2024-10-11"
"2024","Barletta","Cabrio","C22U","23'2""","Mercury 200","H24021","Buckeye Sports","Huron","98179.00","74543.00","2024-10-11"
"2024","Barletta","Cabrio","C24Q","25'2""","Mercury 250","H24022","Buckeye Sports","Huron","104479.00","79583.00","2024-10-11"
"2024","Barletta","Cabrio","C24UE","25'2""","Mercury 250 4S","H24035","Buckeye Sports","Huron","116242.00","88994.00","2024-10-11"
"2024","Barletta","Corsa","X25UEA","25'","MERCURY 300 VERADO","N24004","Buckeye Sports","Peninsula","158089.00","129135.00","2024-10-11"
"2024","Barletta","Lusso","L23M","23'6""","MERCURY 300 VERADO","N24256","Buckeye Sports","Peninsula","166684.00","135941.00","2024-10-11"
"2024","Barletta","Lusso","L23M","25'6""","Mercury 300L Verado V8","H24037","Buckeye Sports","Huron","166984.00","139016.00","2024-10-11"
"2025","Barletta","Aria","22","22'","Mercury 150 4S","H25003","Buckeye Sports","Huron","81285.00","62508.00","2024-10-11"
"2025","Barletta","Aria","A22CC","22'6""","MERCURY 60 ELPT CT 4S","N25028","Buckeye Sports","Peninsula","62295.00","46876.00","2024-10-11"
"2025","Barletta","Aria","A22QC","22'6""","MERCURY 150 4S","N25001","Buckeye Sports","Peninsula","74745.00","57282.00","2024-10-11"
"2025","Barletta","Aria","A22QC","22'6""","MERCURY 200 V-6 4S","N25002","Buckeye Sports","Peninsula","82241.00","63542.00","2024-10-11"
"2025","Barletta","Aria","A22UC","22'6""","MERCURY 150 4S","N25032","Buckeye Sports","Peninsula","78840.00","59958.00","2024-10-11"
"2025","Barletta","N/A","A20UC","N/A","N/A","03H425","Buckeye Sports","Huntsville Marine","74614.00","N/A","2024-10-11"
"2025","Barletta","N/A","C22U","N/A","N/A","04H425","Buckeye Sports","Huntsville Marine","117025.00","N/A","2024-10-11"
"2024","Barletta","Aria","22UC","N/A","N/A","24-3769","Buckeye Sports","Walkers Point Marina","N/A","N/A","2024-10-11"
"2024","Barletta","Cabrio","22UC","N/A","N/A","24-3777","Buckeye Sports","Walkers Point Marina","N/A","N/A","2024-10-11"
"2024","Barletta","Corsa","23UA","N/A","N/A","68I324","Buckeye Sports","Huntsville Marine","160839.00","N/A","2024-10-11"
"2024","Barletta","Corsa","23UCA","N/A","Yamaha VF 360 V Max SHO 4.2L","BI24134","Buckeye Sports","Lefroy Harbour Resorts","N/A","N/A","2024-10-11"
"2024","Harris","Cruiser","190","N/A","N/A","N/A","Buckeye Sports","Wawautosa Marina","N/A","N/A","2024-10-11"
"2024","Princecraft","Jazz","19-4S","19'","Mercury 60ELPT CT","01G324","Buckeye Sports","Desmasdons Boatworks","33652.00","N/A","2024-10-11"
"2024","Princecraft","Vectra","21RL","N/A","N/A","87K324","Buckeye Sports","Baysville Marina","56796.00","N/A","2024-10-11"
"2024","Princecraft","Vectra","21L","N/A","N/A","74K324","Buckeye Sports","Huntsville Marine","41911.00","N/A","2024-10-11"
"2024","Princecraft","Vectra","21RL","N/A","N/A","65K324","Buckeye Sports","Huntsville Marine","56992.00","N/A","2024-10-11"
"2024","Princecraft","Vectra","23WRL","N/A","N/A","25K324","Buckeye Sports","Huntsville Marine","67297.00","N/A","2024-10-11"
"2023","Barletta","Corsa","23QC","N/A","N/A","34K223","Buckeye Sports","Lefroy Harbour Resorts","N/A","N/A","2024-10-11"
"2023","Barletta","Lusso","23U","N/A","VF250XB","23-3593","Buckeye Sports","Walkers Point Marina","N/A","N/A","2024-10-11"
"2023","Harris","Cruiser","210CS","N/A","N/A","HR-53L223","Buckeye Sports","Gordon Bay On Lake Muskoka","58969.00","N/A","2024-10-11"
"2023","Harris","Sunliner","230-Sport","N/A","Mercury","HR-28C323","Buckeye Sports","Gordon Bay On Lake Muskoka","98552.00","N/A","2024-10-11"
"2023","Princecraft","Quorum","23XT","N/A","N/A","16J223","Buckeye Sports","Huntsville Marine","98935.00","N/A","2024-10-11"
"2023","Princecraft","Sportfisher","21-2S","N/A","N/A","96E323","Buckeye Sports","Huntsville Marine","54981.00","N/A","2024-10-11"
"2023","Princecraft","VECTRA","23","N/A","N/A","WFPC23100","Buckeye Sports","Huntsville Marine","60432.00","N/A","2024-10-11"
"2023","Princecraft","Vectra","23XT","N/A","Mercury 150XL","37J223","Buckeye Sports","Desmasdons Boatworks","62603.00","N/A","2024-10-11"
"2023","Princecraft","Vectra","23","N/A","N/A","WFPC23111","Buckeye Sports","Huntsville Marine","60861.00","N/A","2024-10-11"
"2023","Princecraft","Vectra","23XT","N/A","N/A","WFPC23108","Buckeye Sports","Huntsville Marine","61597.00","N/A","2024-10-11"
"2023","Princecraft","Vogue","23","N/A","N/A","WFPC23116","Buckeye Sports","Huntsville Marine","142755.00","N/A","2024-10-11"
"2022","Princecraft","VECTRA","23","17'6""","N/A","BCFPR22128","Buckeye Sports","Huntsville Marine","55678.00","N/A","2024-10-11"
"2025","Bennington","25QSBWAIO","N/A","28 ft","N/A","4170F425","Rogers, Arkansas","N/A","N/A","2024-10-11"
"2025","Barletta","L25MA","N/A","27 ft","N/A","2198I425","Heber Springs, Arkansas","N/A","N/A","2024-10-11"
"2025","Barletta","L25MA","N/A","27 ft","N/A","2044H425","Hot Springs, Arkansas","N/A","N/A","2024-10-11"
"2025","Bennington","25QSBX1","N/A","28 ft","N/A","4403G425","Heber Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Bennington","24RTSBA","N/A","27 ft","N/A","5987F425","Hot Springs, Arkansas","N/A","N/A","2024-10-11"
"2025","Barletta","L25UCA","N/A","27 ft","N/A","2017H425","Heber Springs, Arkansas","N/A","N/A","2024-10-11"
"2025","Barletta","L25UCA","N/A","27 ft","N/A","2142H425","Hot Springs, Arkansas","N/A","N/A","2024-10-11"
"2025","Barletta","L25UCA","N/A","27 ft","N/A","2345L425","Hot Springs, Arkansas","N/A","N/A","2024-10-11"
"2025","Barletta","L23UCA","N/A","25 ft","N/A","2346I425","Hot Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Barletta","L23U","N/A","25 ft","N/A","9593L324","Heber Springs, Arkansas","N/A","N/A","2024-10-11"
"2025","Barletta","X25UCA","N/A","27 ft","N/A","1621G425","Hot Springs, Arkansas","N/A","N/A","2024-10-11"
"2025","Barletta","X23UCA","N/A","25 ft","N/A","2016H425","Heber Springs, Arkansas","N/A","N/A","2024-10-11"
"2025","Barletta","X23UCA","N/A","25 ft","N/A","2045H425","Hot Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Barletta","X23UA","N/A","25 ft","N/A","9503L324","Heber Springs, Arkansas","N/A","N/A","2024-10-11"
"2020","Bennington","25QSBAI/O","N/A","27 ft","N/A","7022H920","Hot Springs, Arkansas","109,000","N/A","2024-10-11"
"2024","Barletta","C24UC","N/A","25 ft","N/A","8882J324","Hot Springs, Arkansas","N/A","N/A","2024-10-11"
"2025","Barletta","C22UC","N/A","23 ft","N/A","1805G425","Hot Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Barletta","C24QC","N/A","25 ft","N/A","8613I324","Heber Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Barletta","C22CC","N/A","23 ft","N/A","8066H324","Heber Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Barletta","C22UC","N/A","23 ft","N/A","9030J324","Heber Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Barletta","C22UC","N/A","22 ft","N/A","8260H324","Nashville, Arkansas","N/A","N/A","2024-10-11"
"2024","Bennington","22SSB-SPS","N/A","24 ft","N/A","3314D424","Rogers, Arkansas","N/A","N/A","2024-10-11"
"2019","Crest","Savannah 250","N/A","25 ft","N/A","","Hot Springs, Arkansas","72,900","N/A","2024-10-11"
"2025","Barletta","A24UC","N/A","23 ft","N/A","2286I425","Heber Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Bennington","22SVSB-SPS","N/A","22 ft","N/A","1685H324","Rogers, Arkansas","N/A","N/A","2024-10-11"
"2025","Barletta","A22UC","N/A","21 ft","N/A","1503F425","Hot Springs, Arkansas","N/A","N/A","2024-10-11"
"2025","Barletta","A22UC","N/A","21 ft","N/A","1506F425","Heber Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Bennington","22SSR-SPS","N/A","22 ft","N/A","1598G324","Hot Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Bennington","22SSB-SPS","N/A","24 ft","N/A","8561L324","Hot Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Bennington","22SVSR","N/A","22 ft","N/A","5328I324","Heber Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Barletta","A22UC","N/A","21 ft","N/A","9595L324","Hot Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Barletta","A22UC","N/A","21 ft","N/A","1165E424","Heber Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Bennington","22SL-SPS","N/A","22 ft","N/A","8563L324","Hot Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Bennington","22SVSR-SPS","N/A","22 ft","N/A","1607G324","Hot Springs, Arkansas","N/A","N/A","2024-10-11"
"2023","Bennington","22SXSR","N/A","23 ft","N/A","4998A323","Hot Springs, Arkansas","59,000","N/A","2024-10-11"
"2024","Bennington","20SVSB","N/A","22 ft","N/A","5330I324","Hot Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Bennington","22SL-SPS","N/A","24 ft","N/A","8433L324","Rogers, Arkansas","N/A","N/A","2024-10-11"
"2024","Bennington","20SSR-SPS","N/A","22 ft","N/A","8434L324","Rogers, Arkansas","N/A","N/A","2024-10-11"
"2024","Barletta","A22QC","N/A","21 ft","N/A","1162E424","Hot Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Barletta","A22QC","N/A","21 ft","N/A","0944E424","Hot Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Barletta","A22QC","N/A","22 ft","N/A","1163E424","Heber Springs, Arkansas","N/A","N/A","2024-10-11"
"2019","Premier","SunSpree 220","N/A","22 ft","N/A","95881B919","Heber Springs, Arkansas","53,900","N/A","2024-10-11"
"2019","Godfrey","235SB","N/A","23 ft","N/A","1181C919","Hot Springs, Arkansas","49,900","N/A","2024-10-11"
"2023","Ranger","Reata 200C","N/A","20 ft","N/A","1881I223","Nashville, Arkansas","42,200","N/A","2024-10-11"
"2021","Bennington","20LFS","N/A","21 ft","N/A","6186B121","United States","39,499","N/A","2024-10-11"
"2024","Bennington","20SVSR","N/A","20 ft","N/A","1342F324","Heber Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Bennington","20SVF","N/A","21 ft","N/A","5327I324","Hot Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Bennington","20SVL","N/A","20 ft","N/A","1341F324","Heber Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Bennington","20SVL","N/A","20 ft","N/A","1695F324","Heber Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Bennington","20SVL","N/A","20 ft","N/A","1696F324","Heber Springs, Arkansas","N/A","N/A","2024-10-11"
"2024","Bennington","188SVL","N/A","18 ft","N/A","1694F324","Heber Springs, Arkansas","N/A","N/A","2024-10-11"
"2008","Bennington","2275GL","N/A","23 ft","N/A","5679I708","Rogers, Arkansas","17,500","N/A","2024-10-11"
"2024","Sea-Doo","GTX","Limited","N/A","N/A","SD72895","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Sea-Doo","Spark","for","N/A","N/A","SD77881","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Sea-Doo","Spark","for","N/A","N/A","SD48337","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Sea-Doo","Spark","for","N/A","N/A","SD27104","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Sea-Doo","Spark","Trixx","N/A","N/A","SD27756","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Sea-Doo","Wake","170","N/A","N/A","SD24311","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Sea-Doo","Wake","170","N/A","N/A","SD33425","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Sea-Doo","Wake","Pro","N/A","N/A","SD66888","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2023","Barletta","Corsa","23QC","25 ft","N/A","BA16616","Marine Sales","Gilbertsville KY","124799","N/A","2024-10-11"
"2023","Barletta","Corsa","23UC","25 ft","N/A","BA17124","Marine Sales","Gilbertsville KY","135817","N/A","2024-10-11"
"2023","Barletta","Corsa","23UC","25 ft","N/A","BA16615","Marine Sales","Gilbertsville KY","131024","N/A","2024-10-11"
"2023","Barletta","Lusso","L23UC","25 ft 6 in","N/A","BA13163","Marine Sales","Gilbertsville KY","150366","N/A","2024-10-11"
"2023","Barletta","Lusso","L23UC","25 ft 6 in","N/A","BA13525","Marine Sales","Gilbertsville KY","147899","N/A","2024-10-11"
"2023","Barletta","Lusso","L25UE","27 ft 6 in","N/A","BA17186","Marine Sales","Gilbertsville KY","165958","N/A","2024-10-11"
"2022","AWAKE","Ravik","3","N/A","N/A","AWR3482","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2022","AWAKE","RAVIK","S","N/A","N/A","AWRS392","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2022","AWAKE","VINGA","S","N/A","N/A","AWV0062","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2025","Barletta ","Aria","A22UC","21 ft 10 in","N/A","BA22174","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2025","Barletta ","Aria","A24UC","23 ft 10 in","N/A","BA22175","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2025","Barletta ","Cabrio","C22UC","23 ft 2 in","N/A","BA21338","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2025","Barletta ","Cabrio","C24UE","25 ft 2 in","N/A","BA22176","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2025","Barletta ","Corsa","23U","25 ft","N/A","BA21339","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2025","Barletta","Corsa","25UE","27 ft","N/A","BA21340","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2025","Barletta ","Lusso","L25MA","27 ft 6 in","N/A","BA21189","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2025","Cobalt Boats","N/A","CS23","N/A","N/A","CO456624","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2025","Cobalt Boats","N/A","R6","25 ft 9 in","N/A","COR6006","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2025","Cobalt Boats","R6","Surf","N/A","N/A","CO456626","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2025","Cobalt Boats","N/A","R8","N/A","N/A","CO456625","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2025","Sportsman","Heritage","231","N/A","N/A","SPHS133","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2025","Sportsman","Open","212","N/A","N/A","SP00026432","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2025","Sportsman","Open","282","28 ft 6 in","N/A","SPXG116","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2025","Sportsman","Open","322","N/A","N/A","SPKG115","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Barletta ","Cabrio","C22QC","23 ft 2 in","N/A","BA20368","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
"2024","Barletta ","Corsa","23QC","25 ft","N/A","BA19676","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-11"
