"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Ranger","Boats","1880","N/A","N/A","","Perfect Catch","Mountain Home AR","N/A","N/A","2024-11-04"
"2025","Ranger","Boats","Z518","N/A","Mercury","","Perfect Catch","Mountain Home AR","N/A","N/A","2024-11-04"
"2024","Axis","Wake","Research","N/A","Malibu M5","","Perfect Catch","Mountain Home AR","N/A","N/A","2024-11-04"
"2024","Bennington","22","SXSR","21 6","Yamaha 115","","Perfect Catch","Mountain Home AR","N/A","N/A","2024-11-04"
"2024","Bennington","24","LXSR","25 1","N/A","","Perfect Catch","Mountain Home AR","N/A","N/A","2024-11-04"
"2024","Bennington","24","SXCW","24","250 Yamaha Vmax Sho","","Perfect Catch","Mountain Home AR","N/A","N/A","2024-11-04"
"2024","Malibu","Boats","23","23","Malibu M6","","Perfect Catch","Mountain Home AR","N/A","N/A","2024-11-04"
"2024","Ranger","Boats","RT178","17 10","N/A","","Perfect Catch","Mountain Home AR","N/A","N/A","2024-11-04"
"2024","Ranger","Boats","Z519","19 9","Mercury","","Perfect Catch","Mountain Home AR","N/A","N/A","2024-11-04"
