Year, Company, Brand, FloorPlan, Msrp, Discount, Stock-Number, Unit Type, Location, Dealer, Date
2025,Jayco,Jay Feather,199MBS,N/A,N/A,T98390,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,260BH,N/A,N/A,T98501,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,260BH,N/A,N/A,T100003,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Forest River RV,Cherokee,26EV,30091,19990,T93307,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Forest River RV,Cherokee,16KHW,42622,22980,T89301,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Jayco,Jay Flight,260BH,33156,22980,T88406,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Jayco,Jay Flight,260BH,33156,22980,T88857,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,210QB,31656,24980,T95409,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Forest River RV,Cherokee,18RR,44011,25988,T87430,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,175BH,26836,N/A,T95381,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Grand Design,Transcend,26BHX,30818,26980,T90102,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Jayco,Jay Flight,261BHS,39456,27995,T88896,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Jayco,Jay Flight,261BHS,39456,27995,T88893,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Grand Design,Transcend,24BHX,28032,N/A,T93506,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Jayco,Jay Flight,261BHS,39456,28990,T83911,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Grand Design,Transcend,245RL,36901,29980,T78263,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,262RLS,37956,29980,T98584,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,260BH,31956,N/A,T98498,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,261BHSW,42180,31980,T98569,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,262RLS,37956,31980,T98585,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Forest River RV,N/A,26BHS,38045,32980,T96189,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Jayco,Jay Flight,260BH,33156,N/A,T87555,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Grand Design,Transcend,26BHX,33872,N/A,T96972,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Forest River RV,N/A,27ATH,51637,33980,T83996,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Forest River RV,Cherokee,23DBHBL,50482,33990,T94599,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Forest River RV,N/A,29TQS,48047,34980,T97914,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Grand Design,Imagine,22MLE,43965,34980,T85753,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,262RLSW,42180,34980,T96408,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Jayco,Jay Feather,25RB,55291,34995,T81986,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Jayco,Jay Flight,324BDS,50507,35990,T82027,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Forest River RV,N/A,23MKS,38044,N/A,T96064,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Forest River RV,N/A,31KDS,49654,38990,T78602,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Forest River RV,N/A,26FKDS,49623,39980,T96071,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Forest River RV,Cherokee,294GEBG,55720,39980,T95266,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Grand Design,Imagine,21BHE,40188,N/A,T93771,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,262RLS,42180,N/A,T95751,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Grand Design,Transcend,245RLT,42479,N/A,T96954,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Jayco,Jay Feather,18MBH,46035,N/A,T98707,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Jayco,Jay Feather,166FBS,47192,N/A,T97105,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Grand Design,Imagine,2600RB,49469,N/A,T98202,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Jayco,Jay Feather,26FK,65027,49980,T93705,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Jayco,Jay Feather,199MBS,51234,N/A,T94963,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Jayco,Jay Feather,21MML,51766,N/A,T98324,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Grand Design,Reflection,296RDTS,69469,52980,T81001,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Grand Design,Imagine,2800BH,54212,N/A,T96504,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Grand Design,Imagine,2670MK,57309,N/A,T96472,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Grand Design,Imagine,2970RL,59786,N/A,T96576,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Grand Design,Reflection,310MKTS,81078,N/A,T96517,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Forest River RV,Cherokee,17JW,N/A,N/A,T98129,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Heartland,N/A,17BHX,17457,13995,T98808,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Heartland,N/A,17BHX,17457,13995,T98809,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Heartland,N/A,17BHX,17457,13995,T98823,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Heartland,N/A,17BHX,17457,13995,T98807,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Heartland,N/A,17RBX,17457,13995,T98822,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2024,Forest River RV,N/A,26BH,32176,21995,T81825,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Heartland,N/A,2550BHX,31960,22995,T98838,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Heartland,N/A,2550BHX,31960,22995,T98839,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Forest River RV,N/A,23MKS,38115,26995,T97854,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Forest River RV,N/A,23MKS,38115,26995,T97853,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Forest River RV,N/A,26BHS,37970,26995,T94768,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Heartland,N/A,265BHX,37900,26995,T92793,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2024,Forest River RV,N/A,26ATH,40723,28995,T89335,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2024,Heartland,N/A,262SRL,48044,29995,T85178,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2024,Heartland,N/A,271SBR,47382,29995,T82520,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Heartland,N/A,3005QBX,41032,29995,T97053,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Heartland,N/A,2909RK,50979,32995,T92962,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Heartland,N/A,2909RK,50979,32995,T93849,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
