Year, Company, Brand, FloorPlan, Msrp, Discount, Stock-Number, Unit Type, Location, Dealer, Date
2024,Jayco,jay flight slx,N/A,260bh,33156,22980,T88857,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2024,Forest-River-Rv,cherokee grey wolf,N/A,18rr,44011,25988,T87430,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2024,Forest-River-Rv,cherokee grey wolf,N/A,16khw,42622,25990,T89301,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,Jayco,jay flight slx,N/A,175bh,26836,N/A,T95381,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2024,Grand-Design,transcend,xplor,26bhx,30818,26980,T90102,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2024,Jayco,jay flight slx,N/A,261bhs,39456,27995,T88896,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2024,Jayco,jay flight slx,N/A,261bhs,39456,27995,T88893,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,Grand-Design,transcend,xplor,24bhx,28032,N/A,T93506,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2024,Jayco,jay flight slx,N/A,261bhs,39456,28990,T83911,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2024,Grand-Design,momentum,N/A,27mav,42730,29980,HG23032,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2024,Grand-Design,transcend,xplor,245rl,36901,29980,T78263,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,Jayco,jay flight slx,N/A,210qb,31656,N/A,T95409,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,light,26bhs,38045,32980,T96189,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2024,Jayco,jay flight slx,N/A,260bh,33156,N/A,T87555,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,Grand-Design,transcend,xplor,26bhx,33872,N/A,T96972,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2024,Forest-River-Rv,aurora,N/A,27ath,51637,33980,T83996,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2024,Grand-Design,transcend,xplor,321bh,41298,33980,T78817,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2024,Forest-River-Rv,cherokee grey wolf,N/A,23dbhbl,50482,33990,T94599,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2024,Grand-Design,imagine,N/A,22mle,43965,34980,T85753,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,Jayco,jay flight slx,N/A,262rlsw,42180,34980,T96408,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2024,Jayco,jay,feather,25rb,55291,34995,T81986,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2024,Grand-Design,imagine,N/A,23lde,46206,35980,T86999,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2024,Jayco,jay,flight,324bds,50507,35990,T82027,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,N/A,23mks,38044,N/A,T96064,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2024,Forest-River-Rv,aurora,N/A,31kds,49654,38990,T78602,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,N/A,26fkds,49623,39980,T96071,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,cherokee,N/A,294gebg,55720,39980,T95266,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,Grand-Design,imagine,N/A,21bhe,40188,N/A,T93771,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
2025,Jayco,jay flight slx,N/A,261bhsw,42180,N/A,T98569,Travel Trailer,Great Bend KS,BlueCompass RV,2024-10-15
