"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2024","Newmar","Bay Star","3225","266228","209997","NBA2406","ClassA Gas","Willis TX","HWH RV","2024-10-21"
"2024","Newmar","Bay Star","3629","288665","216997","NBA2401","ClassA Gas","Katy TX","HWH RV","2024-10-21"
"2024","Renegade","Veracruz","30VRM","268894","229995","RVCC2404","ClassC Gas","Mesquite TX","HWH RV","2024-10-21"
"2025","Dynamax","N/A","28SS","312583","239995","DIC2505","ClassC Gas","Katy TX","HWH RV","2024-10-21"
"2025","Dynamax","Isata 3","34DS","314577","244995","DIC2501","ClassC Gas","Katy TX","HWH RV","2024-10-21"
"2024","Renegade","Verona","40VBH","412190","339995","RVEC2408","ClassC Gas","Mesquite TX","HWH RV","2024-10-21"
"2025","Renegade","Valencia","38BB","342981","N/A","RVAC2501","ClassC Gas","Alvarado TX","HWH RV","2024-10-21"
"2026","Newmar","N/A","3444","378413","N/A","NGSC2604","ClassC Gas","Alvarado TX","HWH RV","2024-10-21"
"2025","Renegade","Verona","40VBH","416572","N/A","RVEC2502","ClassC Gas","Katy TX","HWH RV","2024-10-21"
"2025","Renegade","Verona","40VBH","426428","N/A","RVEC2503","ClassC Gas","Alvarado TX","HWH RV","2024-10-21"
"2026","Newmar","N/A","3948","449172","N/A","NGSC2601","ClassC Gas","Alvarado TX","HWH RV","2024-10-21"
"2025","Renegade","Verona","40LRB","510310","N/A","RVLC2501","ClassC Gas","Alvarado TX","HWH RV","2024-10-21"
"2025","Newmar","Super Star","4059","560243","N/A","NSSC2502","ClassC Gas","Katy TX","HWH RV","2024-10-21"
"2025","Renegade","Classic","45CBF","710573","N/A","RCC2501","ClassC Gas","Alvarado TX","HWH RV","2024-10-21"
"2024","Thor Motor Coach","Quantum","WS31","183134","117995","TQC2401","ClassC Gas","Katy TX","HWH RV","2024-10-21"
"2024","Thor Motor Coach","Quantum","WS31","183809","119995","TQC2409","ClassC Gas","Willis TX","HWH RV","2024-10-21"
"2025","Forest River RV","Sunseeker","3010DS","160977","121995","SC2507","ClassC Gas","Alvarado TX","HWH RV","2024-10-21"
"2024","Forest River RV","Sunseeker","2400TS","178245","129995","SC2425","ClassC Gas","Mesquite TX","HWH RV","2024-10-21"
"2025","Forest River RV","Sunseeker","2850SLE","134759","N/A","SC2504","ClassC Gas","Alvarado TX","HWH RV","2024-10-21"
"2025","Forest River RV","Sunseeker","2400BD","190497","134995","SC2509","ClassC Gas","Mesquite TX","HWH RV","2024-10-21"
"2025","Forest River RV","Sunseeker","2400BD","190787","134995","SC2510","ClassC Gas","Alvarado TX","HWH RV","2024-10-21"
"2025","Forest River RV","Sunseeker","2850SLE","143950","N/A","SC2502","ClassC Gas","Mesquite TX","HWH RV","2024-10-21"
"2025","Forest River RV","Sunseeker","Ford","150209","N/A","SC2512","ClassC Gas","Alvarado TX","HWH RV","2024-10-21"
"2025","Forest River RV","Sunseeker","2400TS","214344","154995","SC2511","ClassC Gas","Alvarado TX","HWH RV","2024-10-21"
"2025","Forest River RV","Sunseeker","S","159538","N/A","SC2501","ClassC Gas","Mesquite TX","HWH RV","2024-10-21"
