"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2025","Winnebago","Vista","34R","N/A","N/A","RALATOWV34R","ClassA Gas","Raleigh NC","Campersinn","2024-10-25"
"2025","Forest River RV","FR3","33Z","N/A","N/A","99893","ClassA Gas","Louisville KY","Campersinn","2024-10-25"
"2025","Forest River RV","FR3","35G","N/A","N/A","RALATOFRFR3P35G","ClassA Gas","Raleigh NC","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3014","N/A","N/A","JN25ATONBS3014","ClassA Gas","Jacksonville North FL","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3016","N/A","N/A","JN25ATONBS3016","ClassA Gas","Jacksonville North FL","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3016","N/A","N/A","25LOATONBS3016","ClassA Gas","Louisville KY","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3225","N/A","N/A","JN25ATONBS3225","ClassA Gas","Jacksonville North FL","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3423","N/A","N/A","JN25ATONBS3423","ClassA Gas","Jacksonville North FL","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3618","N/A","N/A","JN25ATONBS3618","ClassA Gas","Jacksonville North FL","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3626","N/A","N/A","JN25ATONBS3626","ClassA Gas","Jacksonville North FL","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3629","N/A","N/A","JN25ATONBS3629","ClassA Gas","Jacksonville North FL","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3629","N/A","N/A","98721","ClassA Gas","Sewell NJ","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3811","N/A","N/A","JN25ATONBS3811","ClassA Gas","Jacksonville North FL","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","LA","280105","224084","98978","ClassA Gas","Acworth GA","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","UA","280406","N/A","95761","ClassA Gas","Merrimack NH","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","UA","284305","227444","98979","ClassA Gas","Acworth GA","Campersinn","2024-10-25"
"2024","Tiffin Motorhomes","Allegro","UA","255196","199993","93150","ClassA Gas","Acworth GA","Campersinn","2024-10-25"
"2024","Tiffin Motorhomes","Byway","CL","331679","249999","88080","ClassA Gas","Toms River NJ","Campersinn","2024-10-25"
"2023","Winnebago","Adventurer","35F","254678","164999","57838","ClassA Gas","Davenport IA","Campersinn","2024-10-25"
"2023","Winnebago","Adventurer","35F","255303","159993","58165","ClassA Gas","Mocksville NC","Campersinn","2024-10-25"
"2023","Winnebago","Adventurer","35F","255303","156989","69748","ClassA Gas","Raleigh NC","Campersinn","2024-10-25"
"2024","Winnebago","Adventurer","36Z","288397","199995","71932","ClassA Gas","Davenport IA","Campersinn","2024-10-25"
"2024","Winnebago","Adventurer","36Z","291184","199974","91038","ClassA Gas","Raleigh NC","Campersinn","2024-10-25"
"2023","Winnebago","Vista","29V","212698","129993","58162","ClassA Gas","Mocksville NC","Campersinn","2024-10-25"
"2023","Winnebago","Vista","29V","216637","134993","63995","ClassA Gas","Naperville IL","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3826","N/A","N/A","JN25ATONBS3826","ClassA Gas","Jacksonville North FL","Campersinn","2024-10-25"
"2025","Thor Motor Coach","Windsport","29M","N/A","N/A","25NAATOTW29M","ClassA Gas","Naperville IL","Campersinn","2024-10-25"
"2025","Thor Motor Coach","Windsport","34J","N/A","N/A","25NAATOTW34J","ClassA Gas","Naperville IL","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","FA","N/A","N/A","RALATOTMORA32FA","ClassA Gas","Raleigh NC","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","FA","N/A","N/A","ACWATOTIFORA32FA","ClassA Gas","Acworth GA","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","FA","N/A","N/A","DAATOTMORA32FA","ClassA Gas","Davenport IA","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","SA","N/A","N/A","RALATOTMORA32SA","ClassA Gas","Raleigh NC","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","SA","N/A","N/A","DAATOTMORA32SA","ClassA Gas","Davenport IA","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","SA","N/A","N/A","ACWATOTIFORA32SA","ClassA Gas","Acworth GA","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","SA","N/A","N/A","99167","ClassA Gas","Louisville KY","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","PA","N/A","N/A","RALATOTMORA34PA","ClassA Gas","Raleigh NC","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","PA","N/A","N/A","TO25ATOTMORA34PA","ClassA Gas","Toms River NJ","Campersinn","2024-10-25"
"2023","Thor Motor Coach","Vegas","24.3","174304","99993","82313","ClassA Gas","Sewell NJ","Campersinn","2024-10-25"
"2024","Thor Motor Coach","Vegas","24.4","176883","109993","84506","ClassA Gas","Prescott Valley AZ","Campersinn","2024-10-25"
"2024","Thor Motor Coach","Vegas","25.7","174353","109993","84469","ClassA Gas","Prescott Valley AZ","Campersinn","2024-10-25"
"2024","Thor Motor Coach","Windsport","29M","206124","134993","80786","ClassA Gas","Naperville IL","Campersinn","2024-10-25"
"2024","Thor Motor Coach","Windsport","34J","209850","139993","80784","ClassA Gas","Naperville IL","Campersinn","2024-10-25"
"2023","Thor Motor Coach","Windsport","34R","223829","134999","80785","ClassA Gas","Naperville IL","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","SA","261765","209995","94444","ClassA Gas","Mocksville NC","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","PA","288365","232995","96764","ClassA Gas","Raleigh NC","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","PA","287245","N/A","93308","ClassA Gas","Merrimack NH","Campersinn","2024-10-25"
"2024","Tiffin Motorhomes","Allegro","PA","258568","199988","88079","ClassA Gas","Toms River NJ","Campersinn","2024-10-25"
"2024","Tiffin Motorhomes","Allegro","PA","258643","217510","92342","ClassA Gas","Merrimack NH","Campersinn","2024-10-25"
"2023","Tiffin Motorhomes","Allegro","PA","275862","189993","52575","ClassA Gas","Mocksville NC","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","2912","N/A","N/A","SEATONBSS2912","ClassA Gas","Sewell NJ","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","2920","N/A","N/A","SEATONBSS2920","ClassA Gas","Sewell NJ","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3014","N/A","N/A","SEATONBSS3014","ClassA Gas","Sewell NJ","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3225","N/A","N/A","SEATONBSS3225","ClassA Gas","Sewell NJ","Campersinn","2024-10-25"
"2024","Thor Motor Coach","ACE","29D","193328","119995","93834","ClassA Gas","Leesburg FL","Campersinn","2024-10-25"
"2025","Thor Motor Coach","ACE","29G","199343","134995","96903","ClassA Gas","Louisville KY","Campersinn","2024-10-25"
"2024","Thor Motor Coach","ACE","30C","193818","119995","91153","ClassA Gas","Louisville KY","Campersinn","2024-10-25"
