"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2024","Forest River RV","Wildwood","175BHLE","40585","24990","24H2185","Travel Trailer","Nanaimo","Arbutus","2024-11-05"
"2024","Forest River RV","Wildwood","175BHLE","40585","24990","24H2188","Travel Trailer","Port Alberni","Arbutus","2024-11-05"
"2023","Unknown","N/A","274BHWE","47331","27990","23H1901","Travel Trailer","Port Alberni","Arbutus","2024-11-05"
"2023","Unknown","N/A","14FD","49006","27990","23H1845","Travel Trailer","Sidney","Arbutus","2024-11-05"
"2023","Unknown","N/A","14FD","49006","27990","23H1844","Travel Trailer","Parksville","Arbutus","2024-11-05"
"2024","Unknown","N/A","202RDWE","48058","29990","24H2226","Travel Trailer","Sidney","Arbutus","2024-11-05"
"2024","Unknown","N/A","202RDWE","48058","29990","24H2227","Travel Trailer","Port Alberni","Arbutus","2024-11-05"
"2023","Keystone RV","Springdale","222RDWE","54709","32890","23H2034","Travel Trailer","Parksville","Arbutus","2024-11-05"
"2023","Keystone RV","Springdale","222RDWE","54709","32890","23H2035","Travel Trailer","Sidney","Arbutus","2024-11-05"
"2024","Forest River RV","Wildwood","187RBK","53780","32990","24H2184","Travel Trailer","Mill Bay","Arbutus","2024-11-05"
"2024","Forest River RV","Wildwood","187RBK","53780","32990","24H2183","Travel Trailer","Sidney","Arbutus","2024-11-05"
"2025","Keystone RV","N/A","FQ","33890","N/A","25H","Travel Trailer","Parksville","Arbutus","2024-11-05"
"2025","Forest River RV","Wildwood","181RT","N/A","N/A","25H2455","Travel Trailer","Nanaimo","Arbutus","2024-11-05"
"2025","Forest River RV","Wildwood","191SS","N/A","N/A","25H2463","Travel Trailer","Courtenay","Arbutus","2024-11-05"
"2025","Grand Design","Imagine","15RB","N/A","N/A","25H2378","Travel Trailer","Nanaimo","Arbutus","2024-11-05"
"2025","Grand Design","Reflection","297RSTS","N/A","N/A","25H2440","Travel Trailer","Mill Bay","Arbutus","2024-11-05"
"2025","Grand Design","Reflection","297RSTS","N/A","N/A","25H2439","Travel Trailer","Nanaimo","Arbutus","2024-11-05"
"2025","Keystone RV","Bullet","260RBS","N/A","N/A","25H2421","Travel Trailer","Courtenay","Arbutus","2024-11-05"
"2025","Keystone RV","Bullet","2240RKWE","N/A","N/A","25H2417","Travel Trailer","Nanaimo","Arbutus","2024-11-05"
