"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2024","Forest River RV","N/A","357SUT","113270","59995","77254","ToyHauler","American Fork UT","Bish","2024-10-19"
"2024","Forest River RV","Cherokee","320PACK13.5","106007","58990","83629","ToyHauler","Kalispell MT","Bish","2024-10-19"
"2024","Jayco","Seismic","395","133720","89990","83624","ToyHauler","Kalispell MT","Bish","2024-10-19"
"2024","Grand Design","Momentum","381MS","155496","119990","86835","ToyHauler","Kalispell MT","Bish","2024-10-19"
"2025","Grand Design","Momentum","350G","126820","N/A","88333","ToyHauler","Kalispell MT","Bish","2024-10-19"
"2023","Forest River RV","Cherokee","345Pack14.5","122871","64911","71465","ToyHauler","Twin Falls ID","Bish","2024-10-19"
"2024","Jayco","Seismic","395","133720","89995","83704","ToyHauler","Twin Falls ID","Bish","2024-10-19"
"2024","Grand Design","Momentum","415G","130859","91911","77721","ToyHauler","Twin Falls ID","Bish","2024-10-19"
"2025","Jayco","Seismic","399","131890","104995","85459","ToyHauler","Twin Falls ID","Bish","2024-10-19"
"2024","Grand Design","Momentum","399TH","177763","139995","86833","ToyHauler","Twin Falls ID","Bish","2024-10-19"
"2024","Grand Design","Momentum","381MS","155556","151363","84327","ToyHauler","Twin Falls ID","Bish","2024-10-19"
"2025","Jayco","Seismic","399","131890","97995","87278","ToyHauler","Meridian ID","Bish","2024-10-19"
"2024","Grand Design","Momentum","415G","130595","91911","77496","ToyHauler","Idaho Falls ID","Bish","2024-10-19"
"2024","Jayco","Seismic","395","133720","94995","83663","ToyHauler","Idaho Falls ID","Bish","2024-10-19"
"2025","Jayco","Seismic","399","131890","98495","84449","ToyHauler","Idaho Falls ID","Bish","2024-10-19"
"2024","Grand Design","Momentum","395MS","160203","114995","77497","ToyHauler","Idaho Falls ID","Bish","2024-10-19"
"2024","Brinkley","Model G","3500","187334","154995","81539","ToyHauler","Idaho Falls ID","Bish","2024-10-19"
"2024","Grand Design","Momentum","381MS","155303","N/A","81550","ToyHauler","Idaho Falls ID","Bish","2024-10-19"
"2025","Brinkley","Model G","4000","194178","N/A","81544","ToyHauler","Idaho Falls ID","Bish","2024-10-19"
"2025","Brinkley","Model G","3250","194474","N/A","L86931","ToyHauler","Idaho Falls ID","Bish","2024-10-19"
"2025","Brinkley","Model G","3250","194474","N/A","88093","ToyHauler","Idaho Falls ID","Bish","2024-10-19"
"2024","Brinkley","Model G","3950","206158","N/A","L80045","ToyHauler","Idaho Falls ID","Bish","2024-10-19"
"2024","Forest River RV","N/A","VGF327SUT","112699","54995","74247","ToyHauler","American Fork UT","Bish","2024-10-19"
"2024","Forest River RV","N/A","351","141549","80995","81693","ToyHauler","American Fork UT","Bish","2024-10-19"
"2024","Heartland","Cyclone","4006","169315","99911","84189","ToyHauler","Meridian ID","Bish","2024-10-19"
"2024","Alliance RV","Valor","44V14","158917","114911","R83544","ToyHauler","Meridian ID","Bish","2024-10-19"
"2025","Alliance RV","Valor","40V13","149811","129995","85874","ToyHauler","Meridian ID","Bish","2024-10-19"
"2025","Brinkley","Model G","3500","189110","154995","84147","ToyHauler","Meridian ID","Bish","2024-10-19"
"2024","Brinkley","Model G","4000","192344","159995","84143","ToyHauler","Meridian ID","Bish","2024-10-19"
"2024","Brinkley","Model G","3950","218693","179995","R78335","ToyHauler","Meridian ID","Bish","2024-10-19"
"2025","Brinkley","Model G","4000","194178","N/A","84144","ToyHauler","Meridian ID","Bish","2024-10-19"
"2025","Brinkley","Model G","4000","194178","N/A","L87449","ToyHauler","Pick Up","Bish","2024-10-19"
"2025","Brinkley","Model G","3250","194474","N/A","L86927","ToyHauler","Pick Up","Bish","2024-10-19"
"2025","Brinkley","Model G","3250","194474","N/A","88345","ToyHauler","Meridian ID","Bish","2024-10-19"
"2025","Brinkley","Model G","3950","210468","N/A","L87480","ToyHauler","Pick Up","Bish","2024-10-19"
"2025","Brinkley","Model G","3970","214812","N/A","L88499","ToyHauler","Pick Up","Bish","2024-10-19"
"2025","Brinkley","Model G","4100","215391","N/A","L88328","ToyHauler","Pick Up","Bish","2024-10-19"
"2025","Unknown","N/A","4319","203560","164995","87847","ToyHauler","Junction City OR","Bish","2024-10-19"
"2025","Brinkley","Model G","4000","194178","N/A","84088","ToyHauler","Junction City OR","Bish","2024-10-19"
"2024","Heartland","Cyclone","4006","169270","104995","83217","ToyHauler","Junction City OR","Bish","2024-10-19"
"2025","Alliance RV","Valor","36V11","140244","N/A","R87995","ToyHauler","Junction City OR","Bish","2024-10-19"
"2025","Brinkley","Model G","3950","210468","N/A","83580","ToyHauler","Junction City OR","Bish","2024-10-19"
"2025","Brinkley","Model G","3950","210468","N/A","83581","ToyHauler","Junction City OR","Bish","2024-10-19"
"2025","Jayco","Seismic","395","131440","94990","85201","ToyHauler","Cheyenne WY","Bish","2024-10-19"
"2025","Jayco","Seismic","399","131890","94990","84388","ToyHauler","Cheyenne WY","Bish","2024-10-19"
"2025","Jayco","Seismic","399","131890","94990","85200","ToyHauler","Cheyenne WY","Bish","2024-10-19"
"2025","Heartland","N/A","424","140532","94991","86121","ToyHauler","Cheyenne WY","Bish","2024-10-19"
"2025","Heartland","Cyclone","4006","169270","104990","85402","ToyHauler","Cheyenne WY","Bish","2024-10-19"
"2025","Brinkley","Model G","3950","210512","N/A","86710","ToyHauler","Cheyenne WY","Bish","2024-10-19"
"2024","Grand Design","Momentum","397THS","170477","114990","78341","ToyHauler","Great Falls MT","Bish","2024-10-19"
"2024","Grand Design","Momentum","410TH","168854","116990","74972","ToyHauler","Great Falls MT","Bish","2024-10-19"
"2025","Grand Design","Momentum","381MS","154601","150720","87945","ToyHauler","Great Falls MT","Bish","2024-10-19"
"2023","Heartland","Cyclone","4014C","174154","99995","69277","ToyHauler","Idaho Falls ID","Bish","2024-10-19"
"2024","Brinkley","Model G","3500","187334","N/A","L80043","ToyHauler","Idaho Falls ID","Bish","2024-10-19"
"2024","Brinkley","Model G","4000","192446","N/A","L80046","ToyHauler","Idaho Falls ID","Bish","2024-10-19"
"2024","Forest River RV","Cherokee","315PACK12","105586","59995","81655","ToyHauler","Coldwater MI","Bish","2024-10-19"
"2024","Forest River RV","Cherokee","375PACK13","120356","69995","81657","ToyHauler","Coldwater MI","Bish","2024-10-19"
"2024","Grand Design","Momentum","410TH","167637","118995","81560","ToyHauler","Davenport IA","Bish","2024-10-19"
"2024","Grand Design","Momentum","381MS","152076","110995","81561","ToyHauler","Davenport IA","Bish","2024-10-19"
"2025","Jayco","Seismic","399","132783","90995","87226","ToyHauler","Urbana IA","Bish","2024-10-19"
"2025","Jayco","Seismic","395","132363","90995","87221","ToyHauler","Omaha NE","Bish","2024-10-19"
"2025","Heartland","N/A","424","139752","91995","87222","ToyHauler","Omaha NE","Bish","2024-10-19"
"2025","Brinkley","Model G","4000","196822","194178","85917","ToyHauler","Omaha NE","Bish","2024-10-19"
"2025","Brinkley","Model G","3950","222648","N/A","R87674","ToyHauler","Omaha NE","Bish","2024-10-19"
"2025","Jayco","Seismic","395","132363","90995","86938","ToyHauler","Lincoln NE","Bish","2024-10-19"
"2025","Jayco","N/A","395","131470","90995","R87311","ToyHauler","Kearney NE","Bish","2024-10-19"
"2025","Heartland","N/A","424","141235","92995","87522","ToyHauler","Kearney NE","Bish","2024-10-19"
"2025","Jayco","Jay Flight","265THW","45429","29995","85002","ToyHauler","Junction City OR","Bish","2024-10-19"
"2025","Jayco","Jay Flight","265THW","45429","30995","85001","ToyHauler","Junction City OR","Bish","2024-10-19"
"2025","Jayco","Jay Flight","265THW","45429","30995","85003","ToyHauler","Junction City OR","Bish","2024-10-19"
"2025","Jayco","Jay Flight","265THW","45429","30995","85004","ToyHauler","Junction City OR","Bish","2024-10-19"
"2024","Heartland","N/A","T256","72047","52995","86362","ToyHauler","Junction City OR","Bish","2024-10-19"
"2024","Heartland","N/A","T295","82425","53995","84971","ToyHauler","Junction City OR","Bish","2024-10-19"
"2024","Heartland","N/A","T295","82425","53995","84972","ToyHauler","Junction City OR","Bish","2024-10-19"
"2024","Heartland","N/A","T295","81939","53995","84969","ToyHauler","Junction City OR","Bish","2024-10-19"
"2025","Heartland","N/A","T333","91484","62995","86358","ToyHauler","Junction City OR","Bish","2024-10-19"
"2024","Heartland","N/A","T331","97463","63995","83227","ToyHauler","Junction City OR","Bish","2024-10-19"
"2024","Heartland","N/A","T331","98280","64995","86360","ToyHauler","Junction City OR","Bish","2024-10-19"
"2025","Heartland","N/A","T333","91484","64995","86357","ToyHauler","Junction City OR","Bish","2024-10-19"
"2024","Jayco","Jay Flight","265TH","44835","24995","79748","ToyHauler","Meridian ID","Bish","2024-10-19"
"2024","Jayco","Jay Flight","265TH","44835","24995","79758","ToyHauler","Meridian ID","Bish","2024-10-19"
"2024","Jayco","Jay Flight","265THW","44835","24995","79744","ToyHauler","Meridian ID","Bish","2024-10-19"
"2024","Jayco","Jay Flight","265THW","44835","24995","79749","ToyHauler","Meridian ID","Bish","2024-10-19"
"2024","Jayco","Jay Flight","265THW","44835","24995","79756","ToyHauler","Meridian ID","Bish","2024-10-19"
"2024","Jayco","Jay Flight","265THW","44835","24995","79752","ToyHauler","Meridian ID","Bish","2024-10-19"
"2025","Jayco","Jay Flight","255THW","48136","34995","84518","ToyHauler","Meridian ID","Bish","2024-10-19"
"2025","Jayco","Jay Flight","255THW","48136","34995","84520","ToyHauler","Meridian ID","Bish","2024-10-19"
"2025","Jayco","Jay Flight","255THW","48136","34995","84521","ToyHauler","Meridian ID","Bish","2024-10-19"
"2025","Jayco","Jay Flight","255THW","48136","34995","84522","ToyHauler","Meridian ID","Bish","2024-10-19"
"2024","Heartland","N/A","2914","57172","44995","80754","ToyHauler","Meridian ID","Bish","2024-10-19"
"2024","Heartland","N/A","T331","93570","59995","77666","ToyHauler","Meridian ID","Bish","2024-10-19"
"2024","Forest River RV","N/A","25SUT","85721","39995","82057","ToyHauler","American Fork UT","Bish","2024-10-19"
"2025","Unknown","N/A","27TRX","101860","81995","82965","ToyHauler","American Fork UT","Bish","2024-10-19"
"2024","Forest River RV","Cherokee","27PACK10","83661","48495","83687","ToyHauler","Salt Lake City UT","Bish","2024-10-19"
"2025","Forest River RV","Cherokee","LITE","58128","31995","86589","ToyHauler","Salt Lake City UT","Bish","2024-10-19"
"2025","Forest River RV","Cherokee","LITE","58128","31995","86586","ToyHauler","Salt Lake City UT","Bish","2024-10-19"
