Year, Company, Brand, FloorPlan, Msrp, Discount, Stock-Number, Unit Type, Location, Dealer, Date
2024,forest river,cherokee,N/A,18rr,44011,25988,T87430,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2024,forest river,cherokee,N/A,16khw,42622,25990,T89301,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,jay,N/A,N/A,175bh,26836,N/A,T95381,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2024,Grand-Design,transcend,xplor,26bhx,30818,26980,T90102,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2024,jay,N/A,N/A,261bhs,39456,27995,T88896,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2024,jay,N/A,N/A,261bhs,39456,27995,T88893,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,Grand-Design,transcend,xplor,24bhx,28032,N/A,T93506,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2024,jay,N/A,N/A,261bhs,39456,28990,T83911,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2024,Grand-Design,momentum,N/A,27mav,42730,29980,HG23032,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2024,Grand-Design,transcend,xplor,245rl,36901,29980,T78263,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,jay,N/A,N/A,210qb,31656,N/A,T95409,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,26bhs,38045,32980,T96189,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2024,jay,N/A,N/A,260bh,33156,N/A,T87555,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,Grand-Design,transcend,xplor,26bhx,33872,N/A,T96972,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2024,forest river,aurora,N/A,27ath,51637,33980,T83996,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2024,Grand-Design,transcend,xplor,321bh,41298,33980,T78817,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2024,forest river,cherokee,N/A,23dbhbl,50482,33990,T94599,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2024,Grand-Design,imagine,N/A,22mle,43965,34980,T85753,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,jay,N/A,N/A,262rlsw,42180,34980,T96408,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2024,jay,N/A,N/A,25rb,55291,34995,T81986,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2024,Grand-Design,imagine,N/A,23lde,46206,35980,T86999,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2024,jay,N/A,N/A,324bds,50507,35990,T82027,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,23mks,38044,N/A,T96064,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2024,forest river,aurora,N/A,31kds,49654,38990,T78602,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,26fkds,49623,39980,T96071,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,forest river,cherokee,N/A,294gebg,55720,39980,T95266,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,Grand-Design,imagine,N/A,21bhe,40188,N/A,T93771,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,jay,N/A,N/A,261bhsw,42180,N/A,T98569,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,jay,N/A,N/A,262rls,42180,N/A,T95751,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,Grand-Design,transcend,N/A,245rlt,42479,N/A,T96954,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,Grand-Design,imagine,N/A,2800bh,54212,45599,T96504,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,jay,N/A,N/A,18mbh,46035,N/A,T98707,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,jay,N/A,N/A,166fbs,47192,N/A,T97105,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,29tqs,48047,N/A,T97914,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,jay,N/A,N/A,26fk,65027,49980,T93705,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,jay,N/A,N/A,199mbs,51234,N/A,T94963,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,Grand-Design,imagine,N/A,2670mk,57309,51599,T96472,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2024,Grand-Design,reflection,N/A,296rdts,69469,52980,T81001,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,Grand-Design,imagine,N/A,2970rl,59786,57309,T96576,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,Grand-Design,reflection,N/A,310mkts,81078,N/A,T96517,travelTrailer,Great Bend KS,BlueCompass RV,2024-10-12
2025,heartland,prowler,lynx,17bhx,17457,N/A,T98808,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2025,heartland,prowler,lynx,17bhx,17457,N/A,T98809,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2025,heartland,prowler,lynx,17bhx,17457,N/A,T98823,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2025,heartland,prowler,lynx,17bhx,17457,N/A,T98806,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2025,heartland,prowler,lynx,17bhx,17457,N/A,T98807,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2025,heartland,prowler,lynx,17rbx,17457,N/A,T98822,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,forest river,aurora,N/A,26bh,32176,21995,T81825,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2025,heartland,prowler,lynx,2550bhx,31960,22995,T98838,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,26bhs,37970,26995,T94768,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2025,heartland,prowler,lynx,265bhx,37900,26995,T92793,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,forest river,aurora,N/A,26ath,40723,28995,T89335,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,heartland,prowler,N/A,262srl,48044,29995,T85178,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,heartland,prowler,N/A,271sbr,47382,29995,T82520,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2025,heartland,prowler,lynx,3005qbx,41032,29995,T97053,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2025,heartland,prowler,N/A,2909rk,50979,32995,T92962,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2025,heartland,prowler,N/A,2909rk,50979,32995,T93849,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,heartland,prowler,N/A,303sbh,52479,32995,T85171,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,heartland,prowler,N/A,315sbh,54789,32995,T85160,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,alliance rv,delta,N/A,251bh,54806,33995,T76853,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,26fkds,49693,34995,T97892,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2025,heartland,prowler,N/A,3211bh,52035,34995,T93857,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,alliance rv,delta,N/A,251bh,54806,35995,T77347,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,Keystone,cougar,half-ton,22mls,50179,37995,T80715,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,Keystone,passport,sl,268bhwe,48194,37995,T82512,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,alliance rv,delta,N/A,252rl,55092,38995,T83201,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,alliance rv,delta,N/A,262rb,54663,38995,T81724,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,alliance rv,delta,N/A,262rb,54663,38995,T84403,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,32rlts,54812,39995,T97944,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2025,heartland,prowler,N/A,3307bh,63610,39995,T92969,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2025,heartland,prowler,N/A,3307bh,63610,39995,T93867,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,Keystone,cougar,half-ton,22mls,49436,39995,T84570,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,Keystone,cougar,half-ton,25rdswe,60826,41995,T76980,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,Keystone,cougar,half-ton,26rbs,54522,41995,T83392,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,340bhts,58053,42995,T94049,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,forest river,aurora,N/A,340bhts,58053,42995,T89281,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,Keystone,cougar,half-ton,25rdswe,59100,43995,T79991,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,alliance rv,delta,N/A,294rk,65014,44995,T84786,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2025,alliance rv,delta ultra lite,N/A,234rk,48390,44995,T91769,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,black series camper,black,series,hq15,64399,45995,T83413,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,Keystone,cougar,half-ton,26rbswe,58257,46995,T80710,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,Keystone,cougar,half-ton,30rkd,59172,46995,T90994,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2025,Keystone,cougar,half-ton,25fkd,57019,48995,T91514,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,black series camper,black,series,hq19,69399,50995,T83418,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,black series camper,N/A,N/A,hq19,69399,50995,T83419,travelTrailer,Oklahoma City OK,BlueCompass RV,2024-10-12
2024,forest river,aurora,N/A,15rdx,23845,19999,T84984,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,forest river,aurora,N/A,15rdx,23845,19999,T84979,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,Grand-Design,transcend,N/A,151rb,21195,N/A,T91974,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,Grand-Design,transcend,N/A,151rb,21795,N/A,T94267,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,forest river,aurora,N/A,26bh,31736,22980,T83831,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,Grand-Design,transcend,xplor,24bhx,23552,22980,T93344,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,Grand-Design,transcend,xplor,26bhx,30818,26980,T90112,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,Grand-Design,imagine,N/A,16bl,34470,27980,T85384,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,Grand-Design,imagine,N/A,16ml,35730,27980,T77578,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,Grand-Design,transcend,xplor,24bhx,28032,N/A,T93499,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,Grand-Design,imagine,N/A,16bl,34408,28980,T91893,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,Grand-Design,transcend,xplor,22rbx,29327,N/A,T93312,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,Grand-Design,transcend,xplor,26bhx,29392,N/A,T93404,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,forest river,aurora,N/A,28bhs,41702,29980,T89185,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,26bhs,37306,29980,T96166,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,forest river,aurora,N/A,27bhs,40759,29980,T86444,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,Grand-Design,imagine,N/A,14ms,36797,29980,T87953,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,Grand-Design,imagine,N/A,15rb,35155,29980,T88285,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,forest river,aurora,N/A,24rbs,39856,29995,T84954,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,bh,31624,N/A,T92581,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,24rbs,39744,31980,T94711,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,forest river,aurora,N/A,26bhs,37134,31999,T86418,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,Grand-Design,transcend,xplor,25mlx,32205,N/A,T93371,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,Grand-Design,momentum,N/A,22mav,39363,32950,T88228,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,Grand-Design,transcend,xplor,22rbx,34384,N/A,T93421,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,Grand-Design,imagine,N/A,22bhe,42585,34980,T87156,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,Grand-Design,imagine,N/A,24bse,46771,35980,T89533,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,Grand-Design,transcend,xplor,25mlx,36493,N/A,T93464,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,Grand-Design,imagine,N/A,23lde,46142,36980,T88311,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,23mks,37352,N/A,T95633,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,Grand-Design,imagine,N/A,2600rb,51230,37980,T87461,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,forest river,aurora,N/A,32rlts,54161,39980,T84844,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,Grand-Design,imagine,N/A,2500rl,51747,39980,T91654,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,Grand-Design,imagine,N/A,23lde,46142,39980,T91987,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,Grand-Design,imagine,N/A,17mke,41493,N/A,T98249,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,Grand-Design,imagine,N/A,2800bh,55696,41980,T88253,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,Grand-Design,imagine,N/A,2800bh,57281,41980,T87157,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,Grand-Design,transcend,N/A,245rlt,42479,N/A,T97043,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,Grand-Design,imagine,N/A,22mle,43262,N/A,T98259,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,forest river,aurora,N/A,29qbs,47462,44999,T84825,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,Grand-Design,imagine,N/A,23lde,47791,N/A,T77687,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,26fkds,48930,N/A,T92486,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,Grand-Design,imagine,N/A,3210bh,65714,49980,T88239,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,Grand-Design,reflection,N/A,297rsts,70936,49980,T84632,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,34bhts,54271,N/A,T97959,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2024,Grand-Design,momentum,g-class,21g,71493,55980,T81000,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,Grand-Design,imagine,N/A,2670mk,57444,N/A,T98221,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,Grand-Design,imagine,N/A,2670mk,58083,N/A,T98214,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,Grand-Design,imagine,N/A,2970rl,59857,N/A,T98682,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,Grand-Design,reflection,N/A,296rdts,70896,64980,T92909,travelTrailer,Kansas City MO,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,16bhx,23940,14995,T94823,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,16bhx,23940,14995,T94822,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,16bhx,23940,14995,T94821,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2025,starcraft,autumn,ridge,19bh,29287,17995,T96643,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2025,starcraft,autumn,ridge,19bh,29287,17995,T96644,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2025,starcraft,autumn,ridge,26bh,34451,20995,T96634,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,26bhs,37184,24995,T92585,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,26bhs,37184,24995,T94824,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,26bhs,37402,24995,T96181,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2025,starcraft,autumn,ridge,26bhs,38388,25995,T92767,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2025,starcraft,autumn,ridge,26bhs,38388,25995,T92766,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2025,starcraft,autumn,ridge,26bhs,38388,25995,T92762,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2025,starcraft,autumn,ridge,26rls,41231,25995,T96641,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2025,starcraft,autumn,ridge,26rls,41231,25995,T97252,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,24rbs,39794,28995,T92480,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,23mks,37402,28995,T94892,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,24rbs,39794,29995,T92497,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,28bhs,41752,31995,T93976,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2024,alliance rv,delta,N/A,251bh,47995,33995,T84800,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2024,alliance rv,delta,N/A,262rb,55288,34995,T84418,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,26fkds,48980,36995,T92489,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,29tqs,47472,37995,T92507,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2024,forest river,aurora,N/A,320bds,55092,39995,T94063,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2024,alliance rv,delta,N/A,292rl,62768,42995,T81732,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2024,alliance rv,delta,N/A,292rl,64083,42995,T84423,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2024,alliance rv,delta,N/A,294rk,63582,42995,T84147,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2024,alliance rv,delta,N/A,294rk,63642,42995,T89937,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2025,brinkley,model,z,295,86620,N/A,T96878,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2025,brinkley,model,z,285,89009,N/A,T96877,travelTrailer,Springfield MO,BlueCompass RV,2024-10-12
2025,jay,N/A,N/A,175bh,28104,18995,T93629,travelTrailer,Gassville AR,BlueCompass RV,2024-10-12
2025,jay,N/A,N/A,260bh,33676,20995,T97177,travelTrailer,Gassville AR,BlueCompass RV,2024-10-12
2025,jay,N/A,N/A,260bh,33676,20995,T97196,travelTrailer,Gassville AR,BlueCompass RV,2024-10-12
2025,jay,N/A,N/A,210qb,33376,23495,T95729,travelTrailer,Gassville AR,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,26bhs,37273,24995,T98092,travelTrailer,Gassville AR,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,26bhs,37273,24995,T98093,travelTrailer,Gassville AR,BlueCompass RV,2024-10-12
2025,forest river,aurora,N/A,26bhs,37273,24995,T98091,travelTrailer,Gassville AR,BlueCompass RV,2024-10-12
2024,jay,N/A,N/A,235mbh,44313,24995,T81984,travelTrailer,Gassville AR,BlueCompass RV,2024-10-12
2025,forest river,cherokee wolf den,N/A,20rdse,39444,25995,T94882,travelTrailer,Gassville AR,BlueCompass RV,2024-10-12
2024,Grand-Design,transcend,xplor,200mk,31460,25995,T87912,travelTrailer,Gassville AR,BlueCompass RV,2024-10-12
2025,jay,N/A,N/A,261bhs,39676,25995,T97217,travelTrailer,Gassville AR,BlueCompass RV,2024-10-12
