"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2024","Gulf Stream RV","Ameri-Lite","20RBS","41217","18699","54065","Travel Trailer","Clay NY","Wilkins","2024-10-17"
"2025","Jayco","Jay Flight","175FQ","28514","18781","54490","Travel Trailer","Nichols NY","Wilkins","2024-10-17"
"2025","Jayco","Jay Flight","175FQ","29107","18872","54489","Travel Trailer","Nichols NY","Wilkins","2024-10-17"
"2024","Forest River RV","Cherokee","16FQWBL","42337","18998","52803","Travel Trailer","Clay NY","Wilkins","2024-10-17"
"2025","Jayco","Jay Flight","210QB","34279","18998","54488","Travel Trailer","Nichols NY","Wilkins","2024-10-17"
"2025","Jayco","Jay Flight","260BH","34307","18998","53925","Travel Trailer","Nichols NY","Wilkins","2024-10-17"
"2025","Jayco","Jay Flight","260BH","34279","18998","54491","Travel Trailer","Nichols NY","Wilkins","2024-10-17"
"2025","Jayco","Jay Flight","260BH","34256","18998","54290","Travel Trailer","Bath NY","Wilkins","2024-10-17"
"2025","Cruiser","ACE","17BH","22809","14998","54175","Travel Trailer","Nichols NY","Wilkins","2024-10-17"
"2025","Cruiser","ACE","17BH","22809","14998","54198","Travel Trailer","Churchville NY","Wilkins","2024-10-17"
"2025","Cruiser","ACE","17BH","22809","14998","54214","Travel Trailer","Churchville NY","Wilkins","2024-10-17"
"2025","Cruiser","ACE","17BH","22809","14998","54173","Travel Trailer","Waterloo NY","Wilkins","2024-10-17"
"2025","Cruiser","ACE","17BH","22809","14998","54165","Travel Trailer","Bath NY","Wilkins","2024-10-17"
"2025","Cruiser","ACE","17BH","22809","14998","54164","Travel Trailer","Waterloo NY","Wilkins","2024-10-17"
"2025","Cruiser","ACE","17BH","22809","14998","54168","Travel Trailer","Waterloo NY","Wilkins","2024-10-17"
"2025","Cruiser","ACE","17BH","22809","14999","54169","Travel Trailer","Bath NY","Wilkins","2024-10-17"
"2025","Coachmen RV","Catalina Summit Series 7","164BHX","25496","16776","53468","Travel Trailer","Nichols NY","Wilkins","2024-10-17"
"2025","Coachmen RV","Catalina Summit Series 7","164BHX","25496","16776","53470","Travel Trailer","Nichols NY","Wilkins","2024-10-17"
