"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2023","Thor Motor Coach","Windsport","31C","243767","170990","23H1847","ClassA Gas","Nanaimo","Arbutus","2024-10-27"
"2023","Coachmen RV","Mirada","35OS","274059","199990","23H1915","ClassA Gas","Nanaimo","Arbutus","2024-10-27"
"2023","Unknown","Mirada","315KS","289633","219990","23H2045","ClassA Gas","Nanaimo","Arbutus","2024-10-27"
"2024","Grand Design","Influence","2903RL","140236","118990","24H2310","Fifth Wheel","Port Alberni","Arbutus","2024-10-27"
"2024","Grand Design","Influence","3503GK","145300","119990","24H2198","Fifth Wheel","Parksville","Arbutus","2024-10-27"
"2024","Grand Design","Influence","3503GK","145300","119990","24H2197","Fifth Wheel","Courtenay","Arbutus","2024-10-27"
"2024","Grand Design","Influence","3704BH","153530","129990","24H2200","Fifth Wheel","Nanaimo","Arbutus","2024-10-27"
"2024","Grand Design","Influence","3704BH","153530","129990","24H2199","Fifth Wheel","Mill Bay","Arbutus","2024-10-27"
"2023","Alliance RV","Paradigm","385FL","188746","136990","23H2059","Fifth Wheel","Nanaimo","Arbutus","2024-10-27"
"2024","Grand Design","Solitude","370DV","170098","139990","24H2203","Fifth Wheel","Parksville","Arbutus","2024-10-27"
"2024","Grand Design","Solitude","310GK","166053","144490","24H2343","Fifth Wheel","Nanaimo","Arbutus","2024-10-27"
"2024","Grand Design","Solitude","310GK","166053","144490","24H2342","Fifth Wheel","Sidney","Arbutus","2024-10-27"
"2025","Grand Design","Solitude","417KB","173405","150790","25H2436","Fifth Wheel","Nanaimo","Arbutus","2024-10-27"
"2025","Grand Design","Solitude","417KB","173405","150790","25H2437","Fifth Wheel","Nanaimo","Arbutus","2024-10-27"
"2024","Grand Design","Solitude","380FL","193717","159990","24H2194","Fifth Wheel","Nanaimo","Arbutus","2024-10-27"
"2025","Forest River RV","View","165VIEW","N/A","N/A","25H2456","Travel Trailer","Courtenay","Arbutus","2024-10-27"
"2025","Forest River RV","Wildwood","181RT","N/A","N/A","25H2455","Travel Trailer","Nanaimo","Arbutus","2024-10-27"
"2025","Forest River RV","Wildwood","191SS","N/A","N/A","25H2463","Travel Trailer","Courtenay","Arbutus","2024-10-27"
"2025","Forest River RV","Wildwood","241BHXL","N/A","N/A","25H2458","Travel Trailer","Parksville","Arbutus","2024-10-27"
"2025","Grand Design","Imagine","15RB","N/A","N/A","25H2378","Travel Trailer","Nanaimo","Arbutus","2024-10-27"
"2025","Grand Design","Reflection","297RSTS","N/A","N/A","25H2440","Travel Trailer","Mill Bay","Arbutus","2024-10-27"
"2025","Grand Design","Reflection","297RSTS","N/A","N/A","25H2439","Travel Trailer","Nanaimo","Arbutus","2024-10-27"
