"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2024","Manitou","Cruise","22","N/A","N/A","M85886","Deland Motors","Orange City FL","79999.00","65999.00","2024-11-04"
"2024","Manitou","Explore","22","N/A","Outboard Yamaha 250hp","M86365","Deland Motors","Orange City FL","112824.00","69999.00","2024-11-04"
"2023","Manitou","BRP","Explore","N/A","N/A","P84891","Deland Motors","Orange City FL","94999.00","54999.00","2024-11-04"
"2023","Skeeter","N/A","SX2250","22","Yamaha","SK89784","Deland Motors","Orange City FL","87899.00","66499.00","2024-11-04"
"2023","Skeeter","N/A","SX230","N/A","N/A","SK89791","Deland Motors","Orange City FL","N/A","64999.00","2024-11-04"
"2023","Skeeter","N/A","SX2350","236","N/A","SK89788","Deland Motors","Orange City FL","N/A","94993.00","2024-11-04"
