"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2024","Unknown","N/A","4023","189135","128888","PL231822","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Unknown","N/A","3619","181455","134995","PL233375","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Unknown","N/A","4319","197260","139995","PL232935","ToyHauler","Location   Payson","Parris","2024-10-15"
"2024","Unknown","N/A","4319","200510","149995","PL233221","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Gulf Stream RV","Conquest Class C","6314","158262","109685","COD30342","ClassC Gas","Location Murray North","Parris","2024-10-15"
"2025","Alliance RV","Delta","251BH","55375","49995","DE304061","Travel Trailer","Location   Pocatello ID","Parris","2024-10-15"
"2024","Alliance RV","Delta","251BH","55224","39995","DE303598","Travel Trailer","Location Murray North","Parris","2024-10-15"
"2024","Alliance RV","Delta","251BH","55224","39995","DE303599","Travel Trailer","Location Murray North","Parris","2024-10-15"
"2024","Alliance RV","Delta","251BH","55295","39995","DE303600","Travel Trailer","Location   Payson","Parris","2024-10-15"
"2025","Alliance RV","Delta","262RB","56010","49995","DE304084","Travel Trailer","Location   Pocatello ID","Parris","2024-10-15"
"2024","Alliance RV","Delta","281BH","61183","41888","DE302231","Travel Trailer","Location Murray North","Parris","2024-10-15"
"2024","Alliance RV","Delta","281BH","61183","39995","DE302396","Travel Trailer","Location   Payson","Parris","2024-10-15"
"2024","Alliance RV","Delta","292RL","64591","46995","DE303481","Travel Trailer","Location Murray North","Parris","2024-10-15"
"2024","Alliance RV","Delta","292RL","64591","46995","DE303482","Travel Trailer","Location Murray North","Parris","2024-10-15"
"2024","Alliance RV","Delta","292RL","64662","46995","DE303461","Travel Trailer","Location   Payson","Parris","2024-10-15"
"2024","Alliance RV","Delta","292RL","64662","46995","DE303682","Travel Trailer","Location   Payson","Parris","2024-10-15"
"2024","Alliance RV","Delta","292RL","64741","46995","DE303686","Travel Trailer","Location   Pocatello ID","Parris","2024-10-15"
"2025","Keystone RV","Alpine","390DS","108070","82995","AV760120","Fifth Wheel","Location   Payson","Parris","2024-10-15"
"2025","Keystone RV","Alpine","390DS","108070","82995","AV760123","Fifth Wheel","Location Murray South","Parris","2024-10-15"
"2025","Palomino","Palomino","376DS","126090","84995","CL014780","Fifth Wheel","Location Murray North","Parris","2024-10-15"
"2025","Palomino","Palomino","380RL","119113","82995","CL014720","Fifth Wheel","Location Murray North","Parris","2024-10-15"
"2023","Palomino","Palomino","383FB","119308","69888","CL014017","Fifth Wheel","Location   Payson","Parris","2024-10-15"
"2025","Palomino","Palomino","384RK","121466","82995","CL014762","Fifth Wheel","Location Murray North","Parris","2024-10-15"
"2025","Palomino","Palomino","384RK","121466","82995","CL014763","Fifth Wheel","Location   Payson","Parris","2024-10-15"
"2025","Palomino","Palomino","388FK","127192","86995","CL014771","Fifth Wheel","Location Murray North","Parris","2024-10-15"
"2025","Unknown","N/A","235RK","63899","38995","PH002254","Fifth Wheel","Location Murray South","Parris","2024-10-15"
"2025","Unknown","N/A","274BH","70533","43995","PH002249","Fifth Wheel","Location Murray South","Parris","2024-10-15"
"2025","Unknown","N/A","284RL","73868","46995","PH002260","Fifth Wheel","Location Murray South","Parris","2024-10-15"
"2025","Unknown","N/A","30BHS","78291","49995","PH002232","Fifth Wheel","Location Murray South","Parris","2024-10-15"
"2025","Roadtrek","Roadtrek","Agile","212507","159995","RT117279","ClassB Diesel","Location Murray North","Parris","2024-10-15"
"2025","Cruiser","BT Cruiser","5210","141444","99995","BTD06469","ClassC Gas","Location   Payson","Parris","2024-10-15"
"2024","Cruiser","BT Cruiser","5220","132155","84888","BT283704","ClassC Gas","Location Murray North","Parris","2024-10-15"
"2024","Cruiser","BT Cruiser","5240","138061","84888","BTD33457","ClassC Gas","Location Murray North","Parris","2024-10-15"
"2024","Cruiser","BT Cruiser","5240","138611","84888","BTD33460","ClassC Gas","Location   Payson","Parris","2024-10-15"
"2025","Gulf Stream RV","N/A","4237T","145812","94995","COA55996","ClassC Gas","Location Murray North","Parris","2024-10-15"
"2025","Gulf Stream RV","N/A","4237T","145931","94995","COA55683","ClassC Gas","Location   Payson","Parris","2024-10-15"
"2024","Gulf Stream RV","Conquest Class C","6220LE","124650","83995","CO231227","ClassC Gas","Location Murray North","Parris","2024-10-15"
"2025","Gulf Stream RV","Conquest Class C","6237LE","126303","84995","COD46547","ClassC Gas","Location Murray North","Parris","2024-10-15"
"2025","Gulf Stream RV","Conquest Class C","6238","136795","94995","COD01544","ClassC Gas","Location Murray North","Parris","2024-10-15"
"2024","Gulf Stream RV","Conquest Class C","6280LE","127470","83888","COD39056","ClassC Gas","Location Murray North","Parris","2024-10-15"
"2024","Gulf Stream RV","Conquest Class C","6280LE","127470","81995","COD38931","ClassC Gas","Location   Payson","Parris","2024-10-15"
"2025","Gulf Stream RV","Conquest Class C","63111","155260","109995","COD31252","ClassC Gas","Location Murray North","Parris","2024-10-15"
"2025","Forest River RV","Rockwood Signature","R361RLS","93769","67995","RO907505","Fifth Wheel","Location   Payson","Parris","2024-10-15"
"2025","Forest River RV","Rockwood Signature","R372RL","98125","69995","RO907526","Fifth Wheel","Location Murray North","Parris","2024-10-15"
"2025","Forest River RV","Rockwood Signature","R378BH","91770","67995","RO907585","Fifth Wheel","Location Murray North","Parris","2024-10-15"
"2025","Forest River RV","Sabre","25RLS","74645","46995","SR114710","Fifth Wheel","Location   Pocatello ID","Parris","2024-10-15"
"2025","Forest River RV","Sabre","26BBR","87905","47995","SR114861","Fifth Wheel","Location   Pocatello ID","Parris","2024-10-15"
"2024","Forest River RV","Sabre","32GKS","98664","57995","SR114486","Fifth Wheel","Location   Pocatello ID","Parris","2024-10-15"
"2024","Forest River RV","Sabre","38DBL","111258","66995","SR114243","Fifth Wheel","Location   Pocatello ID","Parris","2024-10-15"
"2024","Forest River RV","N/A","255RD","72373","46888","SA016090","Fifth Wheel","Location Murray North","Parris","2024-10-15"
"2024","Forest River RV","N/A","25BH","68328","39995","WC004868","Fifth Wheel","Location Murray South","Parris","2024-10-15"
"2024","Forest River RV","N/A","35FL","88749","52995","WC004886","Fifth Wheel","Location Murray South","Parris","2024-10-15"
"2024","Forest River RV","N/A","36MB","88448","49888","WC004756","Fifth Wheel","Location Murray South","Parris","2024-10-15"
"2024","Forest River RV","N/A","38BET","99222","52888","WC004772","Fifth Wheel","Location Murray South","Parris","2024-10-15"
"2023","Unknown","N/A","379FBS","122822","69888","MEP3F33061","Fifth Wheel","Location   Payson","Parris","2024-10-15"
"2025","Keystone RV","Alpine","3011CK","112028","84995","AL780090","Fifth Wheel","Location   Payson","Parris","2024-10-15"
"2025","Keystone RV","Alpine","3011CK","112028","82995","AL780091","Fifth Wheel","Location Murray South","Parris","2024-10-15"
"2024","Keystone RV","Alpine","3303CK","111571","72888","AL780037","Fifth Wheel","Location Murray South","Parris","2024-10-15"
"2024","Keystone RV","Alpine","3303CK","111571","72888","AL780035","Fifth Wheel","Location   Payson","Parris","2024-10-15"
"2024","Keystone RV","Alpine","3303CK","121321","83995","AL780303","Fifth Wheel","Location   Payson","Parris","2024-10-15"
"2024","Keystone RV","Alpine","3700FL","131064","84888","AL780013","Fifth Wheel","Location   Payson","Parris","2024-10-15"
"2025","Keystone RV","Alpine","3910RK","121681","92995","AL780110","Fifth Wheel","Location   Payson","Parris","2024-10-15"
"2025","Keystone RV","Alpine","321RL","95237","74995","AV760135","Fifth Wheel","Location Murray South","Parris","2024-10-15"
"2025","Keystone RV","Alpine","338GK","98485","76995","AV760102","Fifth Wheel","Location   Payson","Parris","2024-10-15"
"2024","Keystone RV","Alpine","346FL","102850","74995","AV760211","Fifth Wheel","Location Murray South","Parris","2024-10-15"
"2024","Keystone RV","Alpine","378BH","104140","79995","AV760438","Fifth Wheel","Location   Payson","Parris","2024-10-15"
"2025","Unknown","N/A","30RLS","76399","49995","PH002251","Fifth Wheel","Location Murray South","Parris","2024-10-15"
"2025","Venture RV","SportTrek","STTF353VIK","104033","69995","SP096746","Fifth Wheel","Location Murray South","Parris","2024-10-15"
"2025","Venture RV","SportTrek","STTF353VIK","103811","69995","SP096749","Fifth Wheel","Location   Payson","Parris","2024-10-15"
"2025","Venture RV","SportTrek","STTF353VRK","105404","69995","SP096909","Fifth Wheel","Location Murray South","Parris","2024-10-15"
"2025","Unknown","N/A","25TH","40921","29995","OPS75B3051","ToyHauler","Location Murray North","Parris","2024-10-15"
"2025","Unknown","N/A","25TH","40921","29995","OPS75B3053","ToyHauler","Location Murray North","Parris","2024-10-15"
"2025","Unknown","N/A","25TH","40921","29995","OPS75B3052","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Unknown","N/A","25TH","40921","29995","OPS75B3054","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Unknown","N/A","25TH","40921","29995","OPS75B3067","ToyHauler","Location Murray North","Parris","2024-10-15"
"2025","Unknown","N/A","25TH","40921","29995","OPS75B3061","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Unknown","N/A","25TH","41971","28995","OPR75B3063","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Unknown","N/A","25TH","41971","30995","OPR75B3083","ToyHauler","Location   Payson","Parris","2024-10-15"
"2024","Unknown","N/A","25TH","41971","29995","OPR75B3086","ToyHauler","Location   Payson","Parris","2024-10-15"
"2024","Unknown","N/A","25TH","41971","29995","OPR75B3085","ToyHauler","Location   Payson","Parris","2024-10-15"
"2023","Unknown","N/A","263TH","39617","23888","OPP7523052","ToyHauler","Location   Payson","Parris","2024-10-15"
"2023","Unknown","N/A","30DB","74182","44888","NM098282","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Unknown","N/A","V2915CRXL","79250","53995","VO477735","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Unknown","N/A","V3215FSXL","87494","56995","VO477483","ToyHauler","Location Murray North","Parris","2024-10-15"
"2025","Unknown","N/A","FK","39998","29995","OV477607","ToyHauler","Location Murray North","Parris","2024-10-15"
"2025","Unknown","N/A","FK","39998","29995","OV477606","ToyHauler","Location Murray North","Parris","2024-10-15"
"2025","Unknown","N/A","FK","39858","29995","OV477608","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Unknown","N/A","FK","39858","29995","OV477631","ToyHauler","Location   Payson","Parris","2024-10-15"
"2024","Heartland","N/A","243SR","52832","27888","SU527236","ToyHauler","Location   Payson","Parris","2024-10-15"
"2024","Heartland","N/A","T256","75881","49995","TO535493","ToyHauler","Location Murray South","Parris","2024-10-15"
"2024","Heartland","N/A","T264","76284","49995","TO530628","ToyHauler","Location Murray South","Parris","2024-10-15"
"2025","Heartland","N/A","T285","88011","59995","TO539192","ToyHauler","Location Murray South","Parris","2024-10-15"
"2025","Heartland","N/A","T295","82425","56995","TO537465","ToyHauler","Location Murray South","Parris","2024-10-15"
"2024","Heartland","N/A","T331","97463","61995","TO536550","ToyHauler","Location Murray South","Parris","2024-10-15"
"2025","Unknown","N/A","R2015SSXL","55037","34995","RA477717","ToyHauler","Location Murray South","Parris","2024-10-15"
"2025","Unknown","N/A","R2415XL","68687","44995","RA477729","ToyHauler","Location Murray South","Parris","2024-10-15"
"2025","Unknown","N/A","2015XL","55037","34995","VO477707","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Unknown","N/A","2015XL","47374","31888","VO475806","ToyHauler","Location Murray North","Parris","2024-10-15"
"2025","Unknown","N/A","2215XL","56227","36995","VO477693","ToyHauler","Location Murray North","Parris","2024-10-15"
"2025","Unknown","N/A","V2015SSXL","54897","34995","VO477706","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Unknown","N/A","V2015SSXL","55506","34995","VO477708","ToyHauler","Location   Pocatello ID","Parris","2024-10-15"
"2025","Unknown","N/A","V2215SSXL","56087","36995","VO477694","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Unknown","N/A","V2415CRXL","68687","46995","VO477723","ToyHauler","Location Murray North","Parris","2024-10-15"
"2025","Unknown","N/A","V2415CRXL","68547","46995","VO477722","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Unknown","N/A","V2415CRXL","69156","46995","VO477724","ToyHauler","Location   Pocatello ID","Parris","2024-10-15"
"2025","Unknown","N/A","V2915CRXL","79390","53995","VO477734","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Forest River RV","N/A","2900SRS","80006","59995","SS012571","ToyHauler","Location   Payson","Parris","2024-10-15"
"2023","Forest River RV","N/A","FK2700","74289","44888","SS012391","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Forest River RV","N/A","23SUT","54474","33995","VE005367","ToyHauler","Location Murray South","Parris","2024-10-15"
"2024","Forest River RV","N/A","23SUT","75373","34995","VE005319","ToyHauler","Location   Pocatello ID","Parris","2024-10-15"
"2025","Forest River RV","N/A","25SUT","66796","42995","VE005356","ToyHauler","Location   Pocatello ID","Parris","2024-10-15"
